Name,Department,Rating,Would Take Again,Level of Difficulty
Susan Trimingham,Art & Design,2.0,25%,2.5
Benny Boveda,Marketing,4.3,87%,3.1
Lynn Trulio,Environmental Studies,4.3,100%,2.9
Allison Martin,Justice Studies,3.6,67%,3
Charan Bhaskar,Computer Engineering,2.7,40%,2.6
Michael Merz,Business,4.2,100%,2.7
Maureen Kelley,Geography,4.1,89%,2.1
Matt Spangler,Communication Studies,3.5,10%,2
Crystal Han,Mechanical Engineering,4.9,100%,2.8
Deanna Peck,Freshman Seminar,2.5,0%,2
Mathew Zweier,Communication,1.4,0%,2.6
Megha Sharma,Mathematics,2.8,40%,2.6
Ashkan Agharahmanian,Civil Engineering,4.5,100%,2
Frank Farshidi,Civil Engineering,4.0,100%,3
Doris Quai Hoi,Engineering,4.0,100%,3
Michael Stephens,Library Information Science,4.5,84%,3.2
Peace Ossom-Williamson,Library & Information Science,2.0,0%,4
David Archer,Computer Engineering,3.0,50%,5
Thomas Leddy,Philosophy,3.5,50%,3.2
Elizabeth Skovran,Biology,4.6,89%,3
Wencen Wu,Computer Engineering,2.8,63%,2.8
Murat Okyar,Business,3.5,100%,2.5
Kelsey Bogan,Library amp Information Science,3.6,60%,3
James Oliver,Library & Information Science,2.8,75%,1.3
Fatemeh Yarahmadi,Mathematics,4.5,89%,2.7
Hojeong Lee,"Radio, TV & Film",4.5,100%,2
Barbara Ros,Library & Information Science,4.0,100%,1
Jennifer Velasquez,Library & Information Science,2.6,30%,3.1
Teng Moh,Computer Science,2.3,13%,3.7
Ashish Khanchandani,Computer Science,5.0,100%,2.8
Gerald Benoit,Computer Science,2.0,0%,3
Wendy Taiwo,African-American Studies,4.5,85%,1.8
Ruphina Ozoh,Library Information Science,4.3,82%,2.2
Winifred Schultz-Krohn,Occupational Therapy,3.1,29%,4.2
Annette Nellen,Accounting,4.4,100%,3.3
Will Schneider,Music,5.0,100%,1.3
Julie Terebkov,Communication,5.0,100%,2.2
Thomas Cai,Mathematics,5.0,100%,1.1
Christopher Bankston,Linguistics & Language Dev.,3.1,55%,3.1
Brian Ciach,Music,4.1,86%,3.6
Michael Favagrossa,Art & Design,5.0,100%,2
Ernie Thurlow,Mechanical Engineering,3.2,58%,3.5
John Marlovits,Anthropology,3.8,85%,2.4
Sung Ou,Anthropology,2.6,44%,3.2
A.J. Faas,Anthropology,3.7,58%,3.2
San-Hui Chuang,Chinese,3.2,62%,3
Matthew McCoy,English,4.7,100%,2.2
Tim Hom,Chemistry,1.0,0%,2.5
Mitra Rokni,Sociology,3.3,39%,3.2
Frank Butt,Computer Science,2.7,28%,3.5
Mark Stamp,Computer Science,4.4,88%,2.7
John McDaniel,Biology,3.0,46%,3.7
Nancy Ghodrat,Accounting Finance,4.4,89%,2.6
Evan Palmer,Psychology,4.3,83%,3.1
Lena Yang,Sociology,1.3,50%,3.3
Jackson Dryden,Art & Design,5.0,100%,1
Erica Colmenares,Liberal Studies,4.9,100%,2.5
Ramin Alizadeh,Business,2.0,0%,4.5
Neil Switz,Physics,4.7,78%,4
David Vickerman,Music,4.5,100%,2
Timothy Johnston,Philosophy,4.9,100%,2.1
Yasser Dessouky,Industrial Engineering,3.2,67%,3
Nancy Friedland,Library Information Science,2.8,39%,3.2
Shih Yu Chang,Computer Engineering,1.3,0%,2
Daniel Valencia,Ethnic Studies,1.6,6%,4.1
Nayoun Lee,Social Work,3.5,50%,4
Sam Best,Accounting,3.0,0%,3
Liz Roberts,Sociology,2.0,25%,3.9
Jasmine Truong,Art & Design,1.0,0%,5
Grace Howard,Justice Studies,3.1,64%,2.1
Danny Barringer,Physics,3.6,67%,2.9
Gretchen Kelly,Aviation,5.0,100%,1
Claire Komives,Engineering,2.6,22%,3.2
Joanna Acuna-Zamora,Aviation,1.0,0%,2.2
Laura Jones-Hagata,Psychology,4.5,73%,2.7
Christine Guzzetta,"Radio, TV & Film",3.5,67%,2.4
Dana Morella,Communication,4.7,100%,1.7
Timothy Harris,Music,4.7,85%,1.3
Francisco De La Calle,Foreign Languages,4.4,100%,2.5
Erin Lawrimore,Library Science,4.0,100%,2.9
Katherine Skinner,Library & Information Science,4.2,84%,3.6
Apoorva Mohite,Computer Science,3.3,50%,3.3
Folarin Erogbogbo,Chemical Engineering,2.1,0%,3.7
SK Krishnamurthy,Business,5.0,100%,3
Leonard Wesley,Computer Engineering,2.6,12%,3.5
Jennifer Johnson,Business,4.6,93%,2.9
Suzanne Caughlan,Kinesiology,3.0,50%,2.4
Sargon Ishaya,Mechanical Engineering,3.9,75%,3
Ana Casareto,Anthropology,2.8,50%,3.8
Zicong Chen,Music,5.0,100%,2
Ramendra Bahuguna,Physics,4.3,100%,2.1
Gregory Feist,Psychology,4.4,97%,2.6
Kumar Vishal,Biology,4.8,100%,2.4
Nicky Ramos-Beban,Education,2.0,0%,3
Michelle Chen,Library Information Science,5.0,100%,2.9
Saba Torabian-Bassiri,Psychology,3.0,35%,3.2
Long Lu,Aerospace Studies,4.2,83%,3.2
Jocelyn Emus,Design,5.0,100%,2.8
Jesus Covarrubias,Social Science,3.6,74%,2.9
Maria Adeel,Economics,4.4,94%,2.8
Geoffrey Liu,Library Science,2.6,30%,3.1
Dina Izenstark,Child Development,4.7,96%,1.8
Jacqueline Bergman,Nutrition & Foods,4.7,100%,2.5
Christine M. Koontz,Library Science,4.5,100%,2.7
Jennifer Sweeney,Library amp Information Science,2.5,40%,3.6
Linda Wilkin,Kinesiology,3.0,50%,2.3
Todd LeVasseur,Environmental Studies,4.3,34%,2.3
Daniel Lanza Rivers,English & Comparative Lit.,5.0,100%,2.5
James Allison,Art & Design,3.0,0%,2.5
Thomas Langan,Music,3.5,67%,2.2
Minghui Diao,Meteorology,4.1,90%,2.2
Amanda Kight,Nursing,5.0,100%,1.8
Alexi Musick,Physics,5.0,100%,1.7
Quentin Hancock,Engineering,3.5,100%,2.5
Larry Gerston,Political Science,3.7,60%,3.6
Lawrence Quill,Political Science,4.4,84%,3.8
Julio Martinez,Art & Design,3.6,70%,3.6
Ishie Badari Eswar,Computer Engineering,3.0,54%,3.3
Katerina Potika,Computer Science,3.4,50%,3.4
Saba Toriaban,Psychology,1.6,13%,3
Brian Jeung,Art Design,3.3,34%,3
Robert Chun,Computer Science,4.2,60%,3
Sumita Raghuram,Business,3.2,50%,3.4
Nathaniel Bogie,Geology,2.3,34%,3.7
Miles Pascal-Gonzales,Kinesiology,5.0,100%,1.2
Cyrus Saatsaz,Journalism,4.5,93%,2.8
Inga Poslitur,Art Design,4.3,84%,4.8
Melissa Pickett,Biology,5.0,100%,2
Philip Nguyen,Asian Studies,5.0,100%,1.3
Zack Lee,Art,3.0,0%,4
Benjamin Reed,Computer Science,3.8,68%,4.1
Justin Rietz,Economics,4.4,89%,2.7
Jeffrey Jackson,Art & Design,3.6,65%,3.6
Kim Tsai,Child Development,4.8,100%,2.5
Amy Sapp,Health Science,5.0,100%,1.8
Diane Belger,Accounting & Finance,4.3,79%,3.7
Gema Vinuales,Business,3.5,64%,2.5
Mark Lieberman,Communication Studies,5.0,100%,2.5
Karen Yu,Music,4.7,67%,4
Carol Reade,Business,3.8,57%,2.5
Christopher Lim,Business,4.0,80%,2.5
Damian Bacich,Spanish,3.9,50%,2.2
Edith Kinney,Justice Studies,2.5,25%,3.5
Juan Sempere-Martinez,Spanish,4.9,100%,3.1
Jacquelyn Simmons,Biology,5.0,100%,2.6
Jodie Warren,Justice Studies,4.4,86%,1.9
Sherveen Riazati,Kinesiology,4.2,100%,3.2
Marianne Kabir,Religious Studies,5.0,100%,2.3
Sylvia Wong,Design,4.0,67%,3.3
Rick English,Applied Arts,5.0,100%,3
Avizia Long,Spanish,3.5,50%,1.5
Jeffrey Fadiman,Marketing,3.6,59%,3.2
Deborah Hicks,Library & Information Science,2.3,31%,3.2
Frank Torres,Library & Information Science,5.0,100%,2.7
Bao Nguyen,Aviation & Technology,5.0,100%,2.3
Hilary Hurst,Physics,5.0,100%,2.5
Virpi Outila,Business,4.0,100%,3
Simon Rodan,Business,3.1,37%,3.3
Naomi Williams,Health Science,3.3,58%,3.5
Rosa Chang,Industrial Engineering,1.5,12%,4.7
Faith Daly,Political Science,2.3,34%,3.7
Adriane Tomimbang,Kinesiology,4.0,82%,2.8
Jody Ulate,Communication Studies,3.0,23%,3.8
Alana Rios,Photography,5.0,100%,2.9
Aaron Degrassi,Geography,2.0,25%,4
Pj Lyer,Environmental Studies,5.0,100%,3
Daniel Chafey,Materials Engineering,5.0,100%,3.7
Erin Weeks,Communication Studies,2.8,0%,1.5
Debra Buenting,Library amp Information Science,4.9,100%,2.6
Taehwan Lee,Design,2.9,35%,3.7
Andrew Carter,Health Science,3.6,43%,2.7
Hollianne McClure,Geology,5.0,100%,2
Patrick Sweeney,Library & Information Science,5.0,100%,2
Eugene Ionel,Mathematics,2.8,50%,3.8
Michael Dillinger,Psychology,3.0,0%,3.8
Michael Oye,Materials Engineering,3.6,72%,3
Hyun Park,Special Education,1.7,100%,4.3
Brenda Lopez Rodas,Mathematics,3.9,72%,2.6
Raymond Sanchez,Business,3.3,67%,3.8
Doug Case,Computer Science,5.0,100%,2.5
Jun Liu,Computer Engineering,5.0,100%,3
Eric Vanuska,Computer Engineering,5.0,100%,1
Aleksandra Gorka,English & Comparative Lit.,4.7,100%,1.3
Ozgur Keles,Materials Engineering,4.2,84%,2.8
Martin Lampert,Psychology,3.0,50%,3.5
Shawna Bolton,Justice Studies,2.8,44%,3.7
Oscar Crespo,Kinesiology,5.0,100%,1.2
Mark Schwartz,Business,3.0,50%,3.2
Maria Colmenarez,Kinesiology,2.6,34%,3.1
Mahima Suresh,Computer Engineering,4.8,100%,3.1
Griff Freeman,Chemistry,3.7,50%,4.3
Ge Gao,Communication,2.8,25%,3.3
James Freeman,Electrical Engineering,2.7,50%,2.9
Daniel Bohigian,Philosophy,4.7,84%,2.5
Elizabeth Sweet,Sociology,4.9,100%,2
Trevor Basil,Psychology,3.1,56%,2.8
Nidhi Zare,Computer Science,3.3,67%,2.3
William Seneshen,Physics,2.0,0%,3.5
Sarah Mills,Art History,3.0,50%,4
Adam Nilsen,Child Development,4.8,95%,2.3
Teresa O'Donnell-Johnson,Child Development,4.8,100%,3.2
Dona Nichols,Journalism,3.7,59%,2.4
Judith Georges,American Studies,4.4,72%,2.9
Richard Montgomery,Physical Ed,3.7,70%,1.6
Susan Alman,Library Science,2.0,17%,3.2
Greg Savage,Psychology,3.3,84%,2.1
Diana Zamudio-Garcia,Child Development,3.6,58%,2.6
A D'Andrade,Social Work,3.3,0%,4.3
Bhargavibahen Trivedi,Computer Engineering,2.7,34%,4
Biagio Scarpello,Art,5.0,100%,2
Yvonne Escalante,Art & Design,4.5,88%,2.8
John Horodyski,Library Information Science,2.7,25%,3.1
Randy Rodriguez,Communication Disorders,5.0,100%,2
Larissa Chiriaeva,German,4.7,95%,2.6
Chang Choo,Electrical Engineering,3.2,43%,3.3
Joe Miller,Art & Design,4.0,82%,2.3
Tom Beggs,Kinesiology,4.8,100%,1.1
Andrea English,Design,3.3,43%,2.2
Misako Vanderpoel,Mathematics,2.4,34%,4.2
Irene Carvajal,Art Design,4.2,67%,2.8
Megan Quarton,Design,3.6,60%,2.4
Joanne Khau,Biology,5.0,100%,1.7
Jacqueline Gamboa,Chicano Studies,5.0,100%,1.3
Shaun O'Dell,Art & Design,5.0,100%,2
Mohni Dhillon,Nursing,5.0,100%,2
Kristina Mitchell,Political Science,3.8,83%,2.1
Nao Kaizaki,Kinesiology,2.7,43%,3.6
Lynn Dau,Art & Design,4.3,84%,2.2
Aida Mukharesh,Sociology,4.5,100%,2
Dolly Estrada,English & Comparative Lit.,3.5,0%,2
Sarah Dunham,Design,5.0,100%,2
William Musgrave,Business,3.0,36%,3.2
Alison McKee,"Radio, TV & Film",3.7,77%,2.7
Gustavo Cruz,Biology,5.0,100%,2
K Padmanabhan,Chemistry,4.1,100%,2.8
Bo Yang,Geography,3.3,67%,3.3
Heidi Eisips,Marketing,4.6,91%,2.3
Cheryl Dee,Library Science,2.8,34%,2.4
Rodney Myatt,Biology,4.1,100%,3
Michael Ashley,Business,3.7,72%,2.6
Don Crooks,Economics,4.2,87%,2.5
Scott Jarvie,English & Comparative Lit.,5.0,100%,1.8
Murat Bulut,Mathematics,4.8,100%,1.8
Irina Slobodov,Chemistry,4.7,100%,2.7
Erika Zepeda,Counselor Education,3.7,67%,3.7
Rick Vandivier,Music,5.0,100%,1
Maria. Bullen,Accounting,3.5,66%,2.9
Zak Espley,Physics,4.0,100%,2.5
David Williams,Physical Ed,3.8,75%,2.6
Ferdinand Rivera,Mathematics,3.9,69%,3.1
Ekta Vyas,Organization Management,1.8,23%,4.1
Chloe Huynh,Communication,5.0,100%,1.8
Ravneet Tiwana,Mathematics,3.8,68%,2.4
Izzie Brown,Nutrition & Foods,3.4,50%,3.3
Libra Hilde,History,4.7,100%,3.7
Tanya Bakhru,Women's Studies,4.1,55%,3
Leah Gaines,African-American Studies,2.7,40%,2.1
John Gieng,Nutrition amp Foods,4.5,75%,2.8
Matt Cabot,Mass Communications,4.7,96%,2
Capri Burrows,Communication Studies,4.0,88%,2.2
Penny Peck,Library Science,4.3,92%,3
Tianqin Shi,Business,3.5,50%,3.2
Tonia San Nicolas-Rocca,Library & Information Science,2.2,16%,3.1
Douglas Muntz,Technology,4.6,100%,2
Kristin Phillips Matson,Counselor Education,4.3,75%,2
Vicky Gomez,Health Science,4.5,93%,1.9
Daniel Neal,Aviation,5.0,100%,1.8
Praveen Gupta,Business,1.0,0%,4
Sang Lee,Social Work,4.5,86%,2.5
Guannan Liu,Computer Science,5.0,100%,3
Yao Tian,Accounting,2.6,15%,3.9
Morana Medved,Design,5.0,100%,4
John Lord,Accounting,3.9,79%,2.8
Melody Moh,Computer Science,3.2,0%,3.2
Tina Lim,Communication,4.6,91%,2.3
Matthew Maguire,Business,5.0,100%,1.8
Paul Fong,History,2.7,29%,2
Tiffany Simpson,Health Science,1.3,0%,2.7
Valerie Carr,Psychology,4.7,94%,2.7
Steven Sepka,Engineering,4.8,100%,1.3
Alice Scott,Library Information Science,4.8,100%,2.8
Heather So,Justice Studies,3.0,100%,2
Kim Miranda,Ethnic Studies,5.0,100%,2
Mohammad Masum,Computer Science,5.0,100%,3
Michael Mann Stock,Counselor Education,4.3,75%,3.3
Meleia Simon-Reynolds,Ethnic Studies,5.0,100%,1.5
Indu Jeyachandran,Civil Engineering,4.5,100%,2
Christa Bailey,Library & Information Science,5.0,100%,1
Shawn Spano,Communication,4.8,100%,2.3
Daniel Quintana,Computer Science,5.0,100%,3
Sylvia Hall-Ellis,Library Information Science,3.0,67%,2.5
Chris Pollett,Computer Science,3.3,53%,3.7
Kevin Do,Architecture,5.0,100%,2
Nik Tehrani,Technology,5.0,100%,2.3
Sanket Kulkarni,Computer Science,1.0,0%,5
Mostafa Mortezaei,Technology,2.3,34%,3.3
Rod Fatoohi,Computer Engineering,2.4,28%,3.9
Michele Villagran,Library & Information Science,3.4,55%,3.8
Lynda Heiden,Psychology,2.2,0%,3.5
Sang-Soo Lee,Electrical Engineering,4.4,82%,3.8
Aaron Einhorn,Accounting,2.4,40%,3.8
Linda Roper,Mathematics,3.5,64%,2.1
Gary Radine,Business,3.8,67%,2.9
Angela WU,Art & Design,4.1,67%,2.6
Annapurna Singh,Environmental Studies,1.0,0%,3.8
Alesya Petty,English & Comparative Lit.,3.1,49%,3.1
Peter Coronado,Engineering,3.4,60%,3.6
Ngoc Pham,Civil Engineering,4.0,100%,1.8
Norman Mooradian,Library & Information Science,5.0,100%,3
Neyram Hemati,Mechanical Engineering,3.6,0%,3.1
Tom Leddy,Philosophy,3.8,80%,2.8
Linda Landau,English & Comparative Lit.,2.5,12%,2.8
Jennifer Johnston,Biology,4.3,86%,3.2
Toshi Bhat,Computer Science,4.6,100%,3.4
Yoon Chung Han,Design,4.5,100%,3.7
Usamah Hassan,Technology,3.0,34%,3
Lynda Boman,Accounting,4.7,90%,3.2
Mary Harness,Biology,3.5,73%,2.7
Melissa Beresford,Anthropology,5.0,100%,1.6
Craig McKenzie,Music,5.0,100%,2
Craig Kitzmann,Design,5.0,100%,2
Peter McGlaughlin,Computer Science,3.7,67%,3
Gianmarc Grazioli,Chemistry,3.0,50%,3
Michael Lam,Technology,3.3,50%,5
Dan Brook,Sociology,4.1,80%,2.6
Nima Karimian,Computer Engineering,2.0,34%,4.2
Farshid Marbouti,Engineering,1.7,17%,3.8
Brianne Gutmann,Physics,5.0,100%,1.4
Dino Giosso,Social Work,1.0,0%,1
Shannon Shimada,Health Science,5.0,100%,1
Azadeh Shahid-Faylienejad,Physics,3.3,50%,3.3
Connie Phong,Biology,1.0,0%,4.8
Anand Vaidya,Philosophy,4.4,82%,2.8
Ananda Mysore,Mechanical Engineering,3.9,100%,2.3
Jim McMillin,Marketing,4.0,100%,3
Jada Mazury,Kinesiology,5.0,100%,1.4
Mariah Norell,Business,3.6,62%,3.5
Junko Linafelter,Kinesiology,2.8,31%,2.8
Stas Tiomkin,Computer Engineering,4.1,80%,3.8
Lily Chen,Business,4.9,100%,1.9
John Damm,English & Comparative Lit.,3.5,50%,3.3
Andrew Hathaway,Music,5.0,100%,1
Christine Ma-Kellams,Psychology,4.7,94%,2.6
David Daum,Kinesiology,4.8,100%,1.5
Terry Piper,Kinesiology,4.0,100%,2
Laura Miller,Chemistry,4.3,82%,3.9
Bhaskar Mantha,Electrical Engineering,2.3,40%,4.1
Cristina Siegel,Environmental Studies,3.7,78%,2.8
Kate Wilkin,Biology,2.9,50%,3.6
Henry Tooryani,Civil Engineering,4.8,100%,2.1
Leslie Battersby,Civil Engineering,3.9,50%,2.4
Katherine Cushing,Environmental Studies,3.7,25%,3.4
Susana Gallardo,Women's Studies,4.2,85%,2.5
Irene Chou,Nutrition & Foods,4.5,81%,2.4
Thomas Quigg,Biology,4.3,0%,1.4
Garrick Chan,Art & Design,5.0,100%,3.3
Christian Alvarado,Humanities,5.0,100%,1.7
Steven Morgan,Physics,2.9,8%,3.8
Yue Sun,Nutrition amp Foods,4.7,90%,2.2
Tanvi Kothari,Business,3.5,56%,2.9
Darra Hofman,Library & Information Science,4.6,88%,2.8
Shayan Shams,Science,3.2,60%,3
Jessica Bushey,Library & Information Science,2.8,20%,4.4
Yongwhan Lim,Computer Science,3.3,58%,3.9
Katya Karathanos,Secondary Education,3.3,0%,2.9
Carrie Holmberg,Education,4.7,100%,3.3
Amit Dhir,Marketing,3.0,0%,2
Elizabeth Grace,Accounting,3.3,40%,3.9
Bee-Leng Lee,Mathematics,4.0,92%,3.6
Amber Sylva,English & Comparative Lit.,4.6,91%,2.6
Elisa Mattarelli,Business,4.5,87%,2.6
Nicolas Fraire,Kinesiology,5.0,100%,1
Oona Hatton,Communication,4.5,88%,2.3
Nicholas Marchione,Kinesiology,5.0,100%,1
Will Russell,Environmental Studies,4.8,100%,2.1
Robert Cormia,Engineering,5.0,100%,2
Mahsa Modirzadeh,Linguistics,4.5,77%,2.6
Andrea Golloher,Special Education,3.7,50%,3
Jeng-Dau Wu,Business,4.8,92%,1.1
Ebru Reis,Business,1.3,0%,4.9
Carmen Kennedy,Humanities,4.9,100%,1.4
Anthony Rossetti,Mechanical Engineering,4.3,84%,2
Xiaojia Hou,History,5.0,100%,2
Nancy Carlin,Theater,5.0,100%,1.2
Tony Pan,Materials Engineering,4.0,86%,2.4
Hina Habib,Civil Engineering,4.3,92%,3.2
Ian Power-Luetscher,English & Comparative Lit.,4.8,100%,2.2
Shaun Fletcher,Journalism & Mass Comm.,4.8,100%,1.6
Sukanya Chakrabarti,Theater,3.7,67%,3
Mark McKenna,Business,3.0,67%,3.2
Kristine Kirkendall,Kinesiology,5.0,100%,1
Michael Vallerga,Sociology,4.7,100%,2.3
Yalda Edalat,Computer Engineering,2.8,40%,3.8
Rosanne Welch,"Radio, TV & Film",5.0,100%,1
Alexander Jorgensen,Nutrition & Foods,4.0,100%,1
Dashiell Fryer,Mathematics,2.3,25%,4.3
Gayathri Goel,English & Comparative Lit.,4.7,100%,3
Glen Gendzel,History,3.8,0%,3.2
Jennifer Jumba,Library Information Science,3.6,67%,3.2
Jason Dehaan,Sociology,3.9,58%,3
Chris Tseng,Computer Science,2.3,40%,3.1
CJ Duh,Psychology,4.2,88%,2.7
Jimma Cortes-Smith,Counselor Education,4.3,63%,1.4
Carlos Rojas,Computer Engineering,3.4,62%,3.3
Duarte Pinheiro,Portuguese,4.7,50%,2.8
Jorjetta Jetcheva,Computer Science,4.8,100%,3.8
Pietro Calogero,Urban & Regional Planning,3.0,50%,2
Mark Kiehl,Aviation,5.0,100%,1
Wo-Tak Wu,Computer Engineering,4.0,100%,3
Jessi Faust,Sociology,5.0,100%,2
Sue Malloy,Nursing,3.0,60%,3
Charles Rivasplata,Geography,3.3,100%,3.3
Pj Iyer,American Studies,5.0,100%,2.5
Tsu-Hong Yen,Business,3.0,84%,2.4
Allison St. Dennis,English Comparative Lit.,4.6,76%,2.8
Sean Montgomery,Aerospace Studies,5.0,100%,2.3
Kristine Connell,Child Development,4.1,86%,2.9
Anji Buckner-Capone,Health Science,4.3,87%,2.9
Mary Conroy,Child Development,2.6,100%,2.6
Etienne Brown,Philosophy,5.0,100%,1.9
Swathi Vanniarajan,Linguistics,4.2,100%,2.5
Xavier Neal-Burgin,"Radio, TV & Film",4.7,93%,2.1
Michael Kimbarow,Communication Disorders,2.4,0%,1.5
Maria Alaniz,Sociology,4.4,100%,2.4
Xiaolu Hu,Counselor Education,5.0,100%,2
Jeanine Hunter,Aerospace Studies,4.7,93%,3.3
Wen Wang,Civil Engineering,4.4,100%,2.5
Brian Andrade,Aerospace Studies,4.3,92%,2.8
Sepideh Bahrami,Civil Engineering,1.5,0%,3.3
Ahmed Hambaba,Engineering,3.3,67%,1.7
Suzy Brookshire,Geology,5.0,100%,1
Angela Tea,Asian Studies,4.7,67%,1.3
Kyle Corbett,Physics,5.0,100%,1
Angelique Batt,Kinesiology,4.6,97%,1.8
Joseph Pogodzinski,Economics,3.7,59%,2
Shawn Wilde,Business,4.3,65%,2.3
Michael Dao,Kinesiology,4.2,84%,3.2
Debra Hunter,Linguistics Language Dev.,4.4,82%,2.2
Johnny Damm,Humanities,4.8,94%,2.6
Harry Mathias,"Radio, TV & Film",3.8,65%,1.8
David Marsh,Music,5.0,100%,1.3
Susan Tschabrun,Library & Information Science,3.3,100%,3.5
Sudha Krishnan,Special Education,5.0,100%,2
Maria Chierichetti,Engineering,5.0,100%,1
Billie Grosvenor,Recreation,3.8,100%,2.3
Ron Mak,Computer Engineering,4.8,91%,3.3
Gholamreza Brojerdi,Physics,2.3,0%,4
Elias Serna,Chicano Studies,2.0,0%,3
Miller Conrad,Chemistry,5.0,100%,5
Minnie Patel,Industrial Engineering,4.1,60%,2.4
Joan Walton,Art & Design,4.3,70%,1.8
Jose Flahaux,Industrial Engineering,5.0,100%,1.6
Timna Naim,Art,5.0,100%,1.8
Justin Strong,Judaic Studies,4.3,67%,2
Ramesh Srinivasan,Industrial Engineering,4.5,100%,2
Hongrui Liu,Industrial Engineering,5.0,100%,1
Patrick Tam,Industrial Engineering,5.0,100%,2
Mary Sunseri,Communication,4.4,79%,2
Alexa Pagonas,Marketing,4.8,90%,2.3
Ni Zhang,Health Science,3.2,56%,1.8
Carlie Pietsch,Geology,2.7,34%,4.2
Kristi Miller,Health Science,4.9,100%,1.4
Ronald Boeder,Design,2.4,40%,3.2
Alev Dietrich,Kinesiology,4.1,79%,2.1
Martin Bilello,Kinesiology,5.0,100%,1
Mohammadsadegh Mobin,Business,4.2,78%,2.4
Candice Nance,Business,2.8,50%,1.8
Christine Vega,Chicano Studies,5.0,100%,1
Tyler Kyte,Communication,5.0,100%,1.5
Ritik Mehta,Computer Science,3.5,50%,3.5
Babak Sarrafan,"Radio, TV & Film",4.4,90%,2
Bernd Becker,Library Information Science,5.0,100%,2.6
Aaron Romanowsky,Physics,4.0,50%,2.5
Stephanie Trewhitt,Biology,3.5,37%,2.9
Jeffery Fadiman,Business,3.3,50%,4.2
Spencer Choate,Communication,2.3,0%,4
Michael Pogodzinski,Economics,4.2,0%,1.8
Rui Liu,Economics,4.2,86%,2.6
Sanchita Mukherjee,Economics,4.9,100%,3
Victor De Loza,Engineering,4.9,100%,1.8
Mathew Leigh,Geology,3.0,100%,3
Trevor Gullion,Philosophy,4.5,92%,2.5
Alesha Garcia,Kinesiology,3.0,34%,2.3
Gailan Gray,Art Design,5.0,100%,1.5
Rex Tsou,Computer Engineering,2.8,42%,3.8
Trent Osland,Mathematics,3.7,72%,2.7
Carolyn Hott,Art amp Design,5.0,100%,1.3
Sergio Bejar-Lopez,Political Science,2.7,43%,3.5
Corie Brown,Music,1.7,27%,2.9
Max Grossman,Art History,4.4,0%,3.4
Felipe Gomez,Communication Studies,2.6,60%,3.6
Charles Park,Health Science,2.7,35%,4
Arvinder Loomba,Business,3.6,69%,3.1
Gabriela Swamy,Nutrition & Foods,5.0,100%,2
Danielle Mead-Nytko,Child Development,4.3,81%,2.9
Lionel Messi,Athletics,5.0,100%,1
Long Huynh,Engineering,1.0,0%,3
Julie Sparks,English,2.2,29%,3.7
Weider Yu,Computer Engineering,3.2,16%,2.3
David Coad,English & Comparative Lit.,4.2,100%,2.6
Tyler Stannard,Art & Design,5.0,100%,2.8
Olga White,"Radio, TV & Film",3.2,56%,1.9
Rao Alaka,Business,2.5,0%,3
Coleen Greene,Library & Information Science,3.0,50%,4.5
Nicholas Coburn-Palo,Communication,2.6,28%,3.7
Amy Ip,Meteorology,5.0,100%,1.2
Judy Harper,English,4.9,100%,1.9
Harry Li,Computer Engineering,3.0,25%,2.6
Carol Perez,Communication,4.1,69%,2.9
Camille Johnson,Business,2.6,5%,3.5
Sajani Thapa,Marketing,4.0,67%,3
Paul Sanghera,Computer Science,2.9,64%,3.4
Jeff Honda,Biology,2.7,0%,3.4
Sravani Yalaganamoni,Mathematics,1.0,0%,2
Julio Soto,Biology,2.6,49%,4.2
John Kim,Chemistry,3.7,57%,2.4
Jane Narveson,Education,3.8,50%,1.8
Victoria Hartwick,Physics,3.0,0%,4
Melinda Simon,Engineering,2.8,46%,3.7
Kara Ireland D'Ambrosio,Music,2.2,0%,3
Tom Fitzwater,Kinesiology,5.0,100%,2
Pavan Munaganti,Marketing,4.6,86%,2
laurence pilot,French,3.0,50%,3.8
Shishir Mathur,Urban Planning,4.6,100%,3.4
Kenneth Yu,Mathematics,1.5,25%,4.3
Herman Huang,Biology,5.0,100%,3
Namik Sultanov,Music,3.0,67%,3.5
Curtis Asplund,Physics,5.0,100%,3
Bobbi Makani,Marketing,3.2,47%,3.3
Guangliang Chen,Mathematics,3.0,50%,3.8
Reshaj Maskey,Computer Science,5.0,100%,2
Amanda Choi,Library & Information Science,5.0,100%,3
jeffrey Mirocha,Meteorology,3.1,62%,3.5
Miranda Worthen,Health Science,5.0,100%,2.1
Luke Weiler,Accounting,3.1,48%,3.2
Victoria Rue,Women's Studies,3.8,25%,2.8
John Mukhar,Civil Engineering,4.1,100%,1.8
James Mokri,Engineering,3.3,75%,2.3
Kashi Nath,Physics,3.0,50%,3
Gilda Pour,Computer Engineering,2.5,100%,2.6
Jacob Tsao,Industrial Engineering,4.0,67%,2.9
Bilgehan Yildiz,Business,3.4,59%,2.9
Mostafa Mosa,Engineering,1.0,0%,4.7
Juan Serna,Radio TV Film,5.0,100%,1.2
Satinderpreet Singh,Physics,1.3,0%,3.7
Sambuddha Ghatak,Justice Studies,4.2,78%,2.6
Harry Martin,Health Science,2.0,0%,1.5
Anne Walker,English & Comparative Lit.,5.0,100%,3
Miri Vanhoven,Biology,3.4,52%,3.9
Daniel Olson,Physics,5.0,100%,2.5
